filename,width,height,class,xmin,ymin,xmax,ymax
gauge-19.jpg,224,224,gauge,10,10,214,214
gauge-134.jpg,224,224,gauge,10,10,214,214
gauge-9.jpg,224,224,gauge,10,10,214,214
gauge-205.jpg,224,224,gauge,10,10,214,214
gauge-84.jpg,224,224,gauge,10,10,214,214
gauge-80.jpg,224,224,gauge,10,10,214,214
gauge-102.jpg,224,224,gauge,10,10,214,214
gauge-140.jpg,224,224,gauge,10,10,214,214
gauge-201.jpg,224,224,gauge,10,10,214,214
gauge-96.jpg,224,224,gauge,10,10,214,214
gauge-131.jpg,224,224,gauge,10,10,214,214
gauge-165.jpg,224,224,gauge,10,10,214,214
gauge-155.jpg,224,224,gauge,10,10,214,214
gauge-77.jpg,224,224,gauge,10,10,214,214
gauge-86.jpg,224,224,gauge,10,10,214,214
gauge-147.jpg,224,224,gauge,10,10,214,214
gauge-200.jpg,224,224,gauge,10,10,214,214
gauge-53.jpg,224,224,gauge,10,10,214,214
gauge-78.jpg,224,224,gauge,10,10,214,214
gauge-24.jpg,224,224,gauge,10,10,214,214
gauge-164.jpg,224,224,gauge,10,10,214,214
gauge-51.jpg,224,224,gauge,10,10,214,214
gauge-52.jpg,224,224,gauge,10,10,214,214
gauge-8.jpg,224,224,gauge,10,10,214,214
gauge-187.jpg,224,224,gauge,10,10,214,214
gauge-41.jpg,224,224,gauge,10,10,214,214
gauge-1.jpg,224,224,gauge,10,10,214,214
gauge-89.jpg,224,224,gauge,10,10,214,214
gauge-64.jpg,224,224,gauge,10,10,214,214
gauge-186.jpg,224,224,gauge,10,10,214,214
gauge-108.jpg,224,224,gauge,10,10,214,214
gauge-206.jpg,224,224,gauge,10,10,214,214
gauge-195.jpg,224,224,gauge,10,10,214,214
gauge-116.jpg,224,224,gauge,10,10,214,214
gauge-37.jpg,224,224,gauge,10,10,214,214
gauge-76.jpg,224,224,gauge,10,10,214,214
gauge-97.jpg,224,224,gauge,10,10,214,214
gauge-142.jpg,224,224,gauge,10,10,214,214
gauge-180.jpg,224,224,gauge,10,10,214,214
gauge-79.jpg,224,224,gauge,10,10,214,214
gauge-137.jpg,224,224,gauge,10,10,214,214
gauge-204.jpg,224,224,gauge,10,10,214,214
gauge-214.jpg,224,224,gauge,10,10,214,214
gauge-111.jpg,224,224,gauge,10,10,214,214
gauge-203.jpg,224,224,gauge,10,10,214,214
gauge-219.jpg,224,224,gauge,10,10,214,214
gauge-139.jpg,224,224,gauge,10,10,214,214
gauge-120.jpg,224,224,gauge,10,10,214,214
gauge-171.jpg,224,224,gauge,10,10,214,214
gauge-38.jpg,224,224,gauge,10,10,214,214
gauge-182.jpg,224,224,gauge,10,10,214,214
gauge-100.jpg,224,224,gauge,10,10,214,214
gauge-112.jpg,224,224,gauge,10,10,214,214
gauge-18.jpg,224,224,gauge,10,10,214,214
gauge-226.jpg,224,224,gauge,10,10,214,214
gauge-61.jpg,224,224,gauge,10,10,214,214
gauge-95.jpg,224,224,gauge,10,10,214,214
gauge-132.jpg,224,224,gauge,10,10,214,214
gauge-48.jpg,224,224,gauge,10,10,214,214
gauge-55.jpg,224,224,gauge,10,10,214,214
gauge-154.jpg,224,224,gauge,10,10,214,214
gauge-107.jpg,224,224,gauge,10,10,214,214
gauge-17.jpg,224,224,gauge,10,10,214,214
gauge-209.jpg,224,224,gauge,10,10,214,214
gauge-152.jpg,224,224,gauge,10,10,214,214
gauge-68.jpg,224,224,gauge,10,10,214,214
gauge-208.jpg,224,224,gauge,10,10,214,214
gauge-20.jpg,224,224,gauge,10,10,214,214
gauge-5.jpg,224,224,gauge,10,10,214,214
gauge-117.jpg,224,224,gauge,10,10,214,214
gauge-237.jpg,224,224,gauge,10,10,214,214
gauge-105.jpg,224,224,gauge,10,10,214,214
gauge-12.jpg,224,224,gauge,10,10,214,214
gauge-125.jpg,224,224,gauge,10,10,214,214
gauge-191.jpg,224,224,gauge,10,10,214,214
gauge-70.jpg,224,224,gauge,10,10,214,214
gauge-63.jpg,224,224,gauge,10,10,214,214
gauge-210.jpg,224,224,gauge,10,10,214,214
gauge-156.jpg,224,224,gauge,10,10,214,214
gauge-222.jpg,224,224,gauge,10,10,214,214
